Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
xgb_90_3_5,-0.5965031319366606,0.3734,-141.83279290712167,0.4604,Weak model,True,90,3,5
rf_sig_nogarch_5_20,-0.38909029383786764,0.5738,106.57273625927036,0.3747,Weak model,False,,5,20
rf_sig_90_8_50,-0.33257913192043664,0.6317,87.89506686445478,0.3997,Weak model,True,90,8,50
rf_sig_90_50_5,-0.9621536146916447,0.1457,-31.905717255607385,0.7402,Weak model,True,90,50,5
rf_sig_90_50_10,-0.7722408228855203,0.2524,-8.8982050160826,0.9281,Weak model,True,90,50,10
rf_sig_90_50_20,-0.40418207893312497,0.5556,16.043598156135204,0.8821,Weak model,True,90,50,20
rf_sig_90_50_50,-0.33257913192043664,0.6317,87.89506686445478,0.3997,Weak model,True,90,50,50
rf_sig_nogarch_3_5,-0.8822320408373925,0.1749,240.12979216602014,0.0599,Weak model,False,,3,5
rf_sig_nogarch_3_20,-0.27077534607129417,0.6975,160.48919471561302,0.2561,Weak model,False,,3,20
rf_sig_nogarch_3_50,-0.2524908862853439,0.7071,221.89059068507964,0.0963,Weak model,False,,3,50
rf_sig_nogarch_5_5,-0.9368389629118433,0.1545,99.22966076127538,0.3718,Weak model,False,,5,5
rf_sig_nogarch_5_10,-0.749739229071831,0.2631,169.9233757941529,0.1411,Weak model,False,,5,10
rf_sig_nogarch_5_50,-0.33401252006082505,0.6277,169.76039467767055,0.1385,Weak model,False,,5,50
xgb_sig_50_5_20,-0.5453042660272844,0.4284,253.81404532920976,0.072,Weak model,True,50,5,20
rf_sig_nogarch_8_5,-0.7930153792508118,0.232,-64.24534248470854,0.5731,Weak model,False,,8,5
rf_sig_nogarch_8_10,-0.5346409160179678,0.4264,-83.5091253078033,0.4846,Weak model,False,,8,10
rf_sig_nogarch_8_20,-0.282227548688864,0.6827,-67.80962548627303,0.5773,Weak model,False,,8,20
