Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
xgb_90_3_5,-0.36109789531139447,0.4719,-97.74134031051258,0.4065,Weak model,True,90,3,5
rf_sig_nogarch_50_20,-0.04682231206359788,0.9314,-86.18305261675722,0.2529,Weak model,False,,50,20
rf_sig_nogarch_3_50,-0.01708564966007775,0.9748,31.38650048492749,0.6992,Weak model,False,,3,50
rf_sig_nogarch_5_5,-0.7014337262865772,0.1478,13.568392947198568,0.8446,Weak model,False,,5,5
rf_sig_nogarch_5_10,-0.5143339924465649,0.3083,39.784761518356724,0.5682,Weak model,False,,5,10
rf_sig_nogarch_5_20,-0.1536850572126015,0.7667,-10.571904821465024,0.8852,Weak model,False,,5,20
rf_sig_nogarch_5_50,-0.09860728343555891,0.8525,12.337284604973505,0.866,Weak model,False,,5,50
rf_sig_nogarch_8_5,-0.5576101426255456,0.2587,-66.75989697327267,0.3388,Weak model,False,,8,5
rf_sig_nogarch_8_10,-0.2992356793927017,0.5569,-78.25105822085725,0.287,Weak model,False,,8,10
rf_sig_nogarch_8_20,-0.04682231206359788,0.9314,-86.18305261675722,0.2529,Weak model,False,,8,20
rf_sig_nogarch_8_50,-6.389417218499727e-05,0.9998,-53.64097646234082,0.4529,Weak model,False,,8,50
rf_sig_nogarch_50_5,-0.55219940286259,0.2639,-82.77287044931307,0.2266,Weak model,False,,50,5
rf_sig_nogarch_50_10,-0.3036789173771096,0.5522,-74.93219178307213,0.299,Weak model,False,,50,10
rf_sig_nogarch_50_50,-6.389417218499727e-05,0.9998,-53.64097646234082,0.4529,Weak model,False,,50,50
rf_sig_nogarch_3_10,-0.33630462803109495,0.4981,42.65673606347025,0.6107,Weak model,False,,3,10
xgb_sig_50_3_5,-0.6216709562996483,0.1974,158.2660456646555,0.0982,Weak model,True,50,3,5
xgb_sig_50_3_10,-0.392652933189924,0.4325,195.4828963896077,0.058,Weak model,True,50,3,10
xgb_sig_50_5_5,-0.6573875107791216,0.1944,118.4605361898432,0.1926,Weak model,True,50,5,5
xgb_sig_50_5_10,-0.44830391831332517,0.3916,136.13008237831235,0.1173,Weak model,True,50,5,10
xgb_sig_50_8_5,-0.710421641439567,0.1685,22.179890760084934,0.7959,Weak model,True,50,8,5
xgb_sig_50_8_10,-0.5445606635905499,0.3066,38.56355508936855,0.6437,Weak model,True,50,8,10
xgb_sig_50_8_20,-0.42092929616983454,0.4388,102.21680612212757,0.2074,Weak model,True,50,8,20
xgb_sig_50_8_50,-0.44080770502858113,0.4183,114.44481306836445,0.1499,Weak model,True,50,8,50
xgb_sig_50_50_5,-0.39058089485441283,0.4953,35.499666381404076,0.6933,Weak model,True,50,50,5
xgb_sig_50_50_10,-0.2728506267648487,0.649,39.730694501741695,0.6362,Weak model,True,50,50,10
xgb_sig_50_50_20,-0.12357222720519312,0.8372,88.37596651525374,0.2903,Weak model,True,50,50,20
rf_sig_nogarch_3_20,-0.03537010944602803,0.9438,-5.150277501285075,0.9502,Weak model,False,,3,20
rf_sig_nogarch_3_5,-0.6468268042121263,0.1728,69.85750965074521,0.3627,Weak model,False,,3,5
xgb_sig_75_3_5,-0.6290745156694166,0.2131,148.47611811090087,0.1444,Weak model,True,75,3,5
rf_sig_90_3_20,-0.0753515005670089,0.8877,66.52298246687022,0.3913,Weak model,True,90,3,20
rf_sig_75_5_50,-0.14407963368592724,0.7866,80.09813574214337,0.1839,Weak model,True,75,5,50
rf_sig_75_8_5,-0.7905107436598751,0.1071,-9.523922490683397,0.8637,Weak model,True,75,8,5
rf_sig_75_8_10,-0.43187628344466356,0.3911,-8.80405820153053,0.8755,Weak model,True,75,8,10
rf_sig_75_8_20,-0.10765413959843606,0.8373,16.120967248306343,0.7981,Weak model,True,75,8,20
rf_sig_75_8_50,-0.05795664494792163,0.9159,45.60738354699062,0.4384,Weak model,True,75,8,50
rf_sig_75_50_5,-0.6065778327169238,0.2274,-28.559066395728692,0.6198,Weak model,True,75,50,5
rf_sig_75_50_10,-0.2879595770997453,0.583,-19.37508561787925,0.741,Weak model,True,75,50,10
rf_sig_75_50_20,0.03067435645642036,0.9536,5.084579222910577,0.9413,Weak model,True,75,50,20
rf_sig_75_50_50,0.08011623297090487,0.8878,35.84755889801084,0.5601,Weak model,True,75,50,50
rf_sig_90_3_5,-0.6691546818745692,0.1483,77.3004470039667,0.2656,Weak model,True,90,3,5
rf_sig_90_3_10,-0.46322204473868556,0.3378,57.446540090672855,0.4365,Weak model,True,90,3,10
rf_sig_90_3_50,-0.031454969856170356,0.9523,79.24159027540132,0.2771,Weak model,True,90,3,50
rf_sig_90_50_50,-0.09717389529517051,0.86,0.9086024880310006,0.9897,Weak model,True,90,50,50
rf_sig_90_5_5,-0.8208953442928123,0.0849,62.776951461234674,0.301,Weak model,True,90,5,5
