Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
xgb_90_3_5,-0.2680195353985829,0.4582,23.5292123919648,0.607,Weak model,True,90,3,5
xgb_sig_nogarch_8_20,-0.03794892286177032,0.9157,2.3907975766655483,0.9579,Weak model,False,,8,20
rf_sig_90_5_5,-0.3088325673673935,0.3985,-20.258083736644657,0.5084,Weak model,True,90,5,5
rf_sig_90_5_10,-0.24860936199790606,0.4948,31.937583727567926,0.3098,Weak model,True,90,5,10
rf_sig_90_5_20,-0.17057532337590942,0.6501,15.682431233623142,0.5489,Weak model,True,90,5,20
rf_sig_90_5_50,-0.18531280924048665,0.6255,38.55679101247913,0.1259,Weak model,True,90,5,50
rf_sig_90_8_5,-0.24653213961169052,0.5086,-43.56761101267563,0.1036,Weak model,True,90,8,5
rf_sig_90_8_10,-0.11191878628698615,0.7656,-30.07982548995569,0.2942,Weak model,True,90,8,10
rf_sig_90_8_20,-0.10473756312800586,0.7821,-15.27409063241924,0.5133,Weak model,True,90,8,20
rf_sig_90_8_50,-0.11949500207083885,0.7546,7.555356201694173,0.7382,Weak model,True,90,8,50
rf_sig_90_50_10,-0.034469323745270564,0.9251,-45.967699269536666,0.0696,Weak model,True,90,50,10
rf_sig_90_50_20,-0.07462450872340465,0.8435,-17.287323215354213,0.3789,Weak model,True,90,50,20
rf_sig_90_50_50,-0.07057801380834183,0.8508,-10.671574863281657,0.5882,Weak model,True,90,50,50
rf_sig_nogarch_3_5,-0.2893707701996848,0.4234,17.04354206618679,0.6234,Weak model,False,,3,5
rf_sig_nogarch_3_10,-0.24922346309283194,0.4941,65.45991986432873,0.0588,Weak model,False,,3,10
rf_sig_nogarch_3_20,-0.16518901572453715,0.6532,31.499748093294414,0.2996,Weak model,False,,3,20
rf_sig_nogarch_3_50,-0.1744431370270093,0.6352,48.0635148296403,0.1101,Weak model,False,,3,50
rf_sig_nogarch_5_5,-0.19949934744134257,0.5922,-50.291613887351005,0.1692,Weak model,False,,5,5
rf_sig_nogarch_5_10,-0.2392798902947617,0.5208,-3.8809602521574043,0.9151,Weak model,False,,5,10
rf_sig_nogarch_5_20,-0.15068234093171118,0.687,3.387150567509792,0.907,Weak model,False,,5,20
rf_sig_nogarch_5_50,-0.15996816074993847,0.6706,20.34616487619195,0.4916,Weak model,False,,5,50
rf_sig_nogarch_8_10,-0.12728031804530693,0.7337,-52.59655060896627,0.1006,Weak model,False,,8,10
rf_sig_nogarch_8_20,-0.1002410224764595,0.7909,-30.7153373521924,0.2671,Weak model,False,,8,20
rf_sig_nogarch_8_50,-0.10940032929177301,0.7699,-14.03749737113774,0.6078,Weak model,False,,8,50
rf_sig_nogarch_50_20,-0.06056973475884242,0.8702,-33.04102717324221,0.1911,Weak model,False,,50,20
rf_sig_nogarch_50_50,-0.06056973475884242,0.8702,-33.04102717324221,0.1911,Weak model,False,,50,50
xgb_sig_50_3_5,-0.37800328030186947,0.2644,17.462576372269446,0.6023,Weak model,True,50,3,5
rf_sig_90_3_20,-0.17876644293462207,0.6257,37.79732057816082,0.1603,Weak model,True,90,3,20
rf_sig_90_3_5,-0.4037983292995957,0.2507,33.03301139515085,0.2871,Weak model,True,90,3,5
rf_sig_75_50_50,-0.005699846871487391,0.9914,9.23623527720341,0.395,Weak model,True,75,50,50
rf_sig_50_50_10,-0.10062040042485487,0.7986,-9.152270103738463,0.4509,Weak model,True,50,50,10
mlp_pca_nogarch_50_5,-0.3370185416756567,0.3445,-38.03025699654643,0.5334,Weak model,False,,50,5
mlp_pca_nogarch_50_10,-0.3113343940494223,0.3838,20.36276305621501,0.7343,Weak model,False,,50,10
mlp_pca_nogarch_50_20,-0.37842189165207063,0.2946,43.873235392864174,0.4463,Weak model,False,,50,20
mlp_pca_nogarch_50_50,-0.37842189165207063,0.2946,43.873235392864174,0.4463,Weak model,False,,50,50
rf_sig_50_3_5,-0.4978656938398722,0.138,47.82143087714318,0.0503,Weak model,True,50,3,5
rf_sig_50_5_5,-0.39551204684182717,0.2579,12.908461830655426,0.5654,Weak model,True,50,5,5
rf_sig_50_5_10,-0.09702220543109297,0.7829,23.85704344407116,0.3042,Weak model,True,50,5,10
rf_sig_50_5_20,-0.13620860155271397,0.7168,18.189266165209435,0.1977,Weak model,True,50,5,20
rf_sig_50_8_5,-0.1897052854411413,0.6089,-24.182058733658128,0.2909,Weak model,True,50,8,5
rf_sig_50_8_10,-0.13050775423523953,0.7311,-13.827399551841225,0.4709,Weak model,True,50,8,10
rf_sig_50_8_20,-0.10469902468872128,0.7886,7.110566008371176,0.5687,Weak model,True,50,8,20
rf_sig_50_50_20,-0.01725609933267991,0.967,-6.170650704349185,0.5632,Weak model,True,50,50,20
rf_sig_75_50_20,-0.023868923470720116,0.9545,-0.7531402521265047,0.9493,Weak model,True,75,50,20
rf_sig_50_50_50,0.04143963314750021,0.9216,12.083005403668661,0.1661,Weak model,True,50,50,50
rf_sig_75_5_5,-0.2997598498431203,0.4024,9.998056892352231,0.7024,Weak model,True,75,5,5
rf_sig_75_5_10,-0.2710210028790345,0.4542,34.06678306901213,0.1898,Weak model,True,75,5,10
rf_sig_75_5_20,-0.08510402560369035,0.8304,21.053733322906982,0.1879,Weak model,True,75,5,20
rf_sig_75_5_50,-0.052832607981629365,0.8953,25.343020850442983,0.0878,Weak model,True,75,5,50
rf_sig_75_8_5,-0.16949999269069305,0.6519,-19.903141902509986,0.4423,Weak model,True,75,8,5
rf_sig_75_8_10,-0.10285015119147545,0.7867,0.315744072426579,0.991,Weak model,True,75,8,10
rf_sig_75_8_20,0.03672024937558327,0.9241,10.097461663645939,0.5949,Weak model,True,75,8,20
rf_sig_75_8_50,-0.0004543013175694055,0.9992,15.902680119866748,0.2342,Weak model,True,75,8,50
rf_sig_75_50_5,-0.028584027390861966,0.9423,-37.331224951174114,0.0733,Weak model,True,75,50,5
rf_sig_75_50_10,-0.07010994380573299,0.862,-9.556110962599462,0.5421,Weak model,True,75,50,10
xgb_sig_50_3_10,-0.32830331138306246,0.3417,38.505199530583084,0.2463,Weak model,True,50,3,10
xgb_sig_50_3_20,-0.33392839556880294,0.3343,46.13472534382471,0.1551,Weak model,True,50,3,20
xgb_sig_50_3_50,-0.33392839556880294,0.3343,46.13472534382471,0.1551,Weak model,True,50,3,50
xgb_sig_90_50_5,-0.0538552438205272,0.8829,-59.23872842957921,0.1917,Weak model,True,90,50,5
xgb_sig_90_3_10,-0.10050838075844482,0.7876,43.79637045475265,0.3308,Weak model,True,90,3,10
xgb_sig_90_3_20,-0.12089137630203395,0.7454,73.05950724695353,0.0961,Weak model,True,90,3,20
xgb_sig_90_3_50,-0.12089137630203395,0.7454,73.05950724695353,0.0961,Weak model,True,90,3,50
xgb_sig_90_5_5,-0.15134281593852883,0.6742,-29.98968847254963,0.5033,Weak model,True,90,5,5
xgb_sig_90_5_10,-0.11350067288029075,0.7566,0.8596817010528977,0.9837,Weak model,True,90,5,10
xgb_sig_90_5_20,-0.13383453029001313,0.7148,30.519503013640943,0.4572,Weak model,True,90,5,20
xgb_sig_90_5_50,-0.13383453029001313,0.7148,30.519503013640943,0.4572,Weak model,True,90,5,50
xgb_sig_90_8_5,-0.0538552438205272,0.8829,-59.23872842957921,0.1917,Weak model,True,90,8,5
xgb_sig_90_8_10,-0.01594516475627772,0.9655,-28.300159981013056,0.5083,Weak model,True,90,8,10
xgb_sig_90_8_20,-0.03624315261190725,0.9214,2.4338663063592954,0.9529,Weak model,True,90,8,20
xgb_sig_90_8_50,-0.03624315261190725,0.9214,2.4338663063592954,0.9529,Weak model,True,90,8,50
xgb_sig_90_50_10,-0.01594516475627772,0.9655,-28.300159981013056,0.5083,Weak model,True,90,50,10
xgb_sig_75_50_50,-0.11582116330130376,0.7484,21.105383093158714,0.5672,Weak model,True,75,50,50
xgb_sig_90_50_20,-0.03624315261190725,0.9214,2.4338663063592954,0.9529,Weak model,True,90,50,20
xgb_sig_90_50_50,-0.03624315261190725,0.9214,2.4338663063592954,0.9529,Weak model,True,90,50,50
xgb_sig_nogarch_3_5,-0.11971494785983638,0.7412,30.494984866147348,0.5228,Weak model,False,,3,5
xgb_sig_nogarch_3_10,-0.1101987094079161,0.7619,73.29522204182473,0.1259,Weak model,False,,3,10
xgb_sig_nogarch_3_20,-0.1101987094079161,0.7619,73.29522204182473,0.1259,Weak model,False,,3,20
xgb_sig_nogarch_3_50,-0.1101987094079161,0.7619,73.29522204182473,0.1259,Weak model,False,,3,50
xgb_sig_nogarch_5_5,-0.1030900026161834,0.7716,-6.169614917965079,0.8953,Weak model,False,,5,5
xgb_sig_nogarch_5_10,-0.07368464556921928,0.8364,28.65839576825806,0.528,Weak model,False,,5,10
xgb_sig_nogarch_5_20,-0.07368464556921928,0.8364,28.65839576825806,0.528,Weak model,False,,5,20
xgb_sig_nogarch_5_50,-0.07368464556921928,0.8364,28.65839576825806,0.528,Weak model,False,,5,50
xgb_sig_nogarch_8_5,-0.052214125042167825,0.8843,-28.991908129671003,0.5312,Weak model,False,,8,5
xgb_sig_90_3_5,-0.13361774505664614,0.7148,1.4581040713563542,0.9759,Weak model,True,90,3,5
xgb_sig_75_50_20,-0.11582116330130376,0.7484,21.105383093158714,0.5672,Weak model,True,75,50,20
xgb_sig_50_5_5,-0.35769165563489835,0.3004,-22.629623823205364,0.4925,Weak model,True,50,5,5
xgb_sig_75_3_5,-0.24542080541299593,0.4846,25.464661702065875,0.5302,Weak model,True,75,3,5
xgb_sig_50_5_10,-0.3079374578250398,0.3791,-2.810504491110689,0.9331,Weak model,True,50,5,10
xgb_sig_50_5_20,-0.31368539312525645,0.3697,4.735031759650317,0.8824,Weak model,True,50,5,20
xgb_sig_50_5_50,-0.31368539312525645,0.3697,4.735031759650317,0.8824,Weak model,True,50,5,50
xgb_sig_50_8_5,-0.324323694520814,0.3486,-31.446640672535416,0.3209,Weak model,True,50,8,5
xgb_sig_50_8_10,-0.27428123355461387,0.4351,-11.130311439047908,0.7237,Weak model,True,50,8,10
xgb_sig_50_8_20,-0.2800490065718496,0.4282,-3.315677988110023,0.9107,Weak model,True,50,8,20
xgb_sig_50_8_50,-0.2800490065718496,0.4282,-3.315677988110023,0.9107,Weak model,True,50,8,50
xgb_sig_50_50_5,-0.324323694520814,0.3486,-31.446640672535416,0.3209,Weak model,True,50,50,5
xgb_sig_50_50_10,-0.27428123355461387,0.4351,-11.130311439047908,0.7237,Weak model,True,50,50,10
xgb_sig_50_50_20,-0.2800490065718496,0.4282,-3.315677988110023,0.9107,Weak model,True,50,50,20
xgb_sig_50_50_50,-0.2800490065718496,0.4282,-3.315677988110023,0.9107,Weak model,True,50,50,50
xgb_sig_75_3_10,-0.16353024369617308,0.6425,44.59459684409622,0.2647,Weak model,True,75,3,10
xgb_sig_75_50_10,-0.09418215744587966,0.7913,-7.656456797233538,0.839,Weak model,True,75,50,10
xgb_sig_75_3_20,-0.18503428717671344,0.6041,72.39400076073038,0.0664,Weak model,True,75,3,20
xgb_sig_75_3_50,-0.18503428717671344,0.6041,72.39400076073038,0.0664,Weak model,True,75,3,50
