Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
xgb_90_3_5,-0.28235108759272964,0.4432,27.900499778904408,0.5528,Weak model,True,90,3,5
rf_sig_nogarch_8_20,-0.11457257467060622,0.767,-54.543607011978764,0.0519,Weak model,False,,8,20
rf_sig_90_50_10,-0.04880087593941729,0.8982,-39.82992936266012,0.1199,Weak model,True,90,50,10
rf_sig_90_50_20,-0.08895606091755137,0.8183,-17.953634729303335,0.3675,Weak model,True,90,50,20
rf_sig_90_50_50,-0.08490956600248856,0.8268,-15.566635397940097,0.4427,Weak model,True,90,50,50
rf_sig_nogarch_3_5,-0.30370232239383155,0.4036,18.43742306401367,0.6134,Weak model,False,,3,5
rf_sig_nogarch_3_10,-0.26355501528697867,0.4743,48.135818664552176,0.1698,Weak model,False,,3,10
rf_sig_nogarch_3_20,-0.17952056791868387,0.6353,19.538915732838063,0.5265,Weak model,False,,3,20
rf_sig_nogarch_3_50,-0.18877468922115603,0.6176,24.838761372806104,0.4077,Weak model,False,,3,50
rf_sig_nogarch_5_5,-0.2138308996354893,0.5719,-62.05826196195437,0.0974,Weak model,False,,5,5
rf_sig_nogarch_5_10,-0.25361144248890843,0.5019,-10.213670075301927,0.7776,Weak model,False,,5,10
rf_sig_nogarch_5_20,-0.1650138931258579,0.6661,-22.13193202764344,0.4694,Weak model,False,,5,20
rf_sig_nogarch_5_50,-0.1742997129440852,0.6509,-16.719322588214833,0.5736,Weak model,False,,5,50
rf_sig_nogarch_8_50,-0.12373188148591974,0.7495,-49.13397795230085,0.0729,Weak model,False,,8,50
rf_sig_90_8_20,-0.11906911532215259,0.7615,-18.926990849069742,0.4321,Weak model,True,90,8,20
xgb_sig_50_3_5,-0.3923348324960162,0.2523,13.658334579806239,0.6935,Weak model,True,50,3,5
xgb_sig_50_3_10,-0.3426348635772092,0.3273,27.88979794557426,0.4131,Weak model,True,50,3,10
xgb_sig_50_3_20,-0.34825994776294966,0.3206,34.68651251692202,0.2991,Weak model,True,50,3,20
xgb_sig_50_3_50,-0.34825994776294966,0.3206,34.68651251692202,0.2991,Weak model,True,50,3,50
xgb_sig_50_5_5,-0.3720232078290451,0.2888,-27.880622970420504,0.4006,Weak model,True,50,5,5
xgb_sig_50_5_10,-0.3222690100191865,0.3602,-14.71907088589873,0.6529,Weak model,True,50,5,10
xgb_sig_50_5_20,-0.3280169453194032,0.351,-7.9952831009815375,0.804,Weak model,True,50,5,20
xgb_sig_50_5_50,-0.3280169453194032,0.351,-7.9952831009815375,0.804,Weak model,True,50,5,50
xgb_sig_50_8_5,-0.3386552467149607,0.3319,-36.415249138027875,0.2607,Weak model,True,50,8,5
xgb_sig_50_8_10,-0.2886127857487606,0.4153,-22.97655868806942,0.4688,Weak model,True,50,8,10
xgb_sig_50_8_20,-0.29438055876599634,0.4077,-16.010032742987637,0.6118,Weak model,True,50,8,20
rf_sig_90_8_50,-0.13382655426498558,0.7332,1.1959016400823437,0.9591,Weak model,True,90,8,50
rf_sig_90_8_10,-0.12625033848113287,0.7421,-15.284038531240451,0.6009,Weak model,True,90,8,10
xgb_sig_50_50_5,-0.3386552467149607,0.3319,-36.415249138027875,0.2607,Weak model,True,50,50,5
rf_sig_75_5_50,-0.06716416017577609,0.8629,24.461473599774735,0.106,Weak model,True,75,5,50
rf_sig_50_5_10,-0.11135375762523969,0.7592,39.47530670626706,0.0922,Weak model,True,50,5,10
rf_sig_50_5_20,-0.1505401537468607,0.6938,13.261823109702169,0.359,Weak model,True,50,5,20
rf_sig_50_8_5,-0.20403683763528802,0.5903,-9.116030876300792,0.689,Weak model,True,50,8,5
rf_sig_50_8_10,-0.14483930642938625,0.7075,-17.83009298826519,0.3626,Weak model,True,50,8,10
rf_sig_50_8_20,-0.119030576882868,0.7635,0.14721771655197102,0.9916,Weak model,True,50,8,20
rf_sig_50_8_50,0.013243397725178907,0.9765,20.07623108971295,0.0822,Weak model,True,50,8,50
rf_sig_50_50_10,-0.1149519526190016,0.7749,-11.16808117165837,0.3632,Weak model,True,50,50,10
rf_sig_50_50_20,-0.03158765152682663,0.9374,-8.744394717027516,0.4218,Weak model,True,50,50,20
rf_sig_50_50_50,0.027108080953353486,0.9487,10.080895771561345,0.2461,Weak model,True,50,50,50
rf_sig_75_5_5,-0.31409140203726704,0.3836,24.081612678856565,0.3671,Weak model,True,75,5,5
rf_sig_75_5_20,-0.09943557779783707,0.8002,21.555000978604657,0.1857,Weak model,True,75,5,20
rf_sig_75_8_5,-0.18383154488483977,0.6309,-4.314966316441165,0.8689,Weak model,True,75,8,5
rf_sig_90_8_5,-0.26086369180583724,0.4872,-44.68018809256052,0.1044,Weak model,True,90,8,5
rf_sig_75_8_10,-0.11718170338562217,0.7565,2.368278016851967,0.9257,Weak model,True,75,8,10
rf_sig_75_8_20,0.022388697181436545,0.9543,10.574391466151903,0.5836,Weak model,True,75,8,20
rf_sig_75_8_50,-0.01478585351171613,0.9724,11.505259593169017,0.3874,Weak model,True,75,8,50
rf_sig_75_50_5,-0.04291557958500869,0.9123,-37.84196845207171,0.0735,Weak model,True,75,50,5
rf_sig_75_50_10,-0.08444149599987971,0.8313,-6.778301566115436,0.6713,Weak model,True,75,50,10
rf_sig_75_50_20,-0.03820047566486684,0.9232,-0.17374352467488485,0.9894,Weak model,True,75,50,20
rf_sig_75_50_50,-0.020031399065634115,0.9604,6.380448751754359,0.5564,Weak model,True,75,50,50
rf_sig_90_5_5,-0.32316411956154023,0.384,-8.558820481390654,0.7792,Weak model,True,90,5,5
rf_sig_90_5_10,-0.2629409141920528,0.4772,53.85382790315822,0.0951,Weak model,True,90,5,10
rf_sig_90_5_20,-0.18490687557005614,0.6332,11.659063973167157,0.665,Weak model,True,90,5,20
rf_sig_90_5_50,-0.19964436143463338,0.6053,31.85566888144909,0.2117,Weak model,True,90,5,50
xgb_sig_50_8_50,-0.29438055876599634,0.4077,-16.010032742987637,0.6118,Weak model,True,50,8,50
xgb_sig_50_50_10,-0.2886127857487606,0.4153,-22.97655868806942,0.4688,Weak model,True,50,50,10
mlp_pca_nogarch_50_50,-0.39275344384621735,0.2824,71.83208753480339,0.2244,Weak model,False,,50,50
xgb_sig_nogarch_8_5,-0.06654567723631455,0.8625,-69.68405060157997,0.1413,Weak model,False,,8,5
xgb_sig_90_50_10,-0.030276716950424443,0.937,-74.399969117061,0.0969,Weak model,True,90,50,10
xgb_sig_90_50_20,-0.05057470480605397,0.8953,-48.040010898574565,0.2674,Weak model,True,90,50,20
xgb_sig_90_50_50,-0.05057470480605397,0.8953,-48.040010898574565,0.2674,Weak model,True,90,50,50
xgb_sig_nogarch_3_5,-0.1340465000539831,0.7188,-0.7177512281736149,0.9877,Weak model,False,,3,5
xgb_sig_nogarch_3_10,-0.12453026160206282,0.7385,26.70978596169484,0.5817,Weak model,False,,3,10
xgb_sig_nogarch_3_20,-0.12453026160206282,0.7385,26.70978596169484,0.5817,Weak model,False,,3,20
