Strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,alpha_annualized_market_benchmark,alpha_annualized_asset_benchmark,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,win_rate,max_win_streak,max_loss_streak,average_gain,average_loss,profit_factor,exposure,trade_count,turnover,VaR_95,CVaR_95,average_holding_days,longest_holding_days,longest_holding_start,longest_holding_end,shortest_holding_days,shortest_holding_start,shortest_holding_end
BB Pure,-0.08866688542053192,-0.02287707904452274,0.07746441086538244,-0.6864953656214146,-0.06528170105588493,-0.0652065111009067,-0.23253676715044028,-0.11865952793780075,-0.1927959721575372,1,17.804154302670625,6,9,0.005831780681647298,-0.006277842379670631,0.9187384503836137,34.718100890207715,26,0.025717111770524232,-0.008184674236960347,-0.014273737950892994,37.76923076923077,65,2022-04-27 00:00:00,2022-07-01 00:00:00,14,2024-01-17 00:00:00,2024-01-31 00:00:00
BB GARCH,-0.09047225572875972,-0.023359927596273367,0.06864162037490718,-0.7820914321772627,-0.0629632847165531,-0.06286084549695181,-0.2507496278892623,-0.11452703976750281,-0.20396866664584634,1,14.836795252225517,6,9,0.005685811368507061,-0.005923134261213494,0.8999370810958623,29.574678536102866,26,0.025717111770524232,-0.007075740696388201,-0.012789189649231461,32.07692307692308,65,2022-04-27 00:00:00,2022-07-01 00:00:00,9,2024-12-18 00:00:00,2024-12-27 00:00:00
MACD Pure,-0.06653749591217017,-0.017016104482504235,0.10915642318813557,-0.43227890718134726,-0.07019534727825827,-0.0712613849145668,-0.17201354041865505,-0.10474020642456387,-0.16246010069456562,294,25.816023738872403,9,5,0.007225810558017391,-0.006472818011485244,0.9647765503136723,51.33531157270029,89,0.08803165182987141,-0.011298162482291943,-0.017933610365052765,15.772727272727273,82,2021-03-12 00:00:00,2021-06-02 00:00:00,0,2021-02-24 00:00:00,2021-02-24 00:00:00
MACD GARCH,0.11616552092285182,0.027771909736785894,0.10918697711919313,-0.024053712452398453,-0.02778231284805066,-0.029287947621859378,0.28119755471793284,0.19501440652563473,-0.14240952877055912,551,28.090999010880317,9,9,0.007163659523424114,-0.006613677441415737,1.0571029323103034,53.70919881305638,65,0.06429277942631058,-0.011177358027279361,-0.017690679562282274,23.34375,117,2024-03-28 00:00:00,2024-07-23 00:00:00,0,2021-02-24 00:00:00,2021-02-24 00:00:00
RSI Pure,0.06725933849243226,0.01635755336788902,0.09096833759113478,-0.1517367289855855,-0.03155415818005369,-0.032009232970707124,0.18994094102460035,0.0826942120929447,-0.19780771778203587,785,21.068249258160236,9,9,0.006883036456204558,-0.006012844500010501,1.0464627642144824,41.54302670623146,54,0.05341246290801187,-0.008750947546273022,-0.014375509355418077,21.48148148148148,58,2023-02-06 00:00:00,2023-04-05 00:00:00,5,2022-07-27 00:00:00,2022-08-01 00:00:00
RSI GARCH,0.0971158789556883,0.023371373253885386,0.09184155049269305,-0.07535717425915349,-0.02503354869141383,-0.02582709732475752,0.25585201915789163,0.14692125259006228,-0.1590741491913078,554,19.980217606330367,9,7,0.007191416257728524,-0.006569957853877941,1.068151532643071,38.47675568743818,42,0.04154302670623145,-0.009231420922341247,-0.014719313516578712,25.80952380952381,70,2022-09-22 00:00:00,2022-12-01 00:00:00,5,2022-07-27 00:00:00,2022-08-01 00:00:00
RF,0.16354515254699709,0.038477304565570414,0.12321280840455902,0.06280435165191486,-0.025704261415986362,-0.027279585961257125,0.38606605788033843,0.24411536460632383,-0.15761934783425613,280,38.97131552917903,9,8,0.006705503857697717,-0.0069373175749522335,1.0608197921751623,73.29376854599407,26,0.025717111770524232,-0.013208701449650716,-0.019332794544053445,81.07692307692308,428,2021-03-09 00:00:00,2022-05-11 00:00:00,2,2022-05-17 00:00:00,2022-05-19 00:00:00
RF-FS,0.21511215462860167,0.049763140076414025,0.13253006774605622,0.13997042632274556,-0.020580332921519284,-0.022278091916803966,0.5126382018330575,0.23659829687698103,-0.2103275498313849,519,47.47774480712167,9,9,0.006567822751099071,-0.00676823464452837,1.0658738748316214,90.20771513353115,14,0.013847675568743818,-0.014514295519305404,-0.02001280201725542,187.71428571428572,570,2021-03-01 00:00:00,2022-09-22 00:00:00,1,2024-08-22 00:00:00,2024-08-23 00:00:00
XGB,0.06094948392517119,0.014856447335061196,0.1192632081381973,-0.12815084751702197,-0.045849485376084353,-0.047152317167967084,0.15492485017701368,0.05884385099517493,-0.2524723838397217,838,35.311572700296736,9,10,0.006900025549453651,-0.006480174863650131,1.0246092685055725,69.93076162215628,46,0.04549950544015826,-0.01244457374729091,-0.018521762298071336,43.26086956521739,288,2023-02-16 00:00:00,2023-12-01 00:00:00,1,2022-05-10 00:00:00,2022-05-11 00:00:00
XGB-FS,0.04154070039459179,0.010196706935693634,0.11770561617284232,-0.16895040276025733,-0.048736112967071366,-0.05071029149291606,0.10536844652011151,0.04623521175480701,-0.22053985585203895,521,32.838773491592484,9,9,0.007044631598315816,-0.0065660475172974915,1.0177106153085276,64.8862512363996,55,0.05440158259149357,-0.012490764464167827,-0.018357117322032667,33.96296296296296,295,2023-02-09 00:00:00,2023-12-01 00:00:00,0,2022-07-28 00:00:00,2022-07-28 00:00:00
