Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
mlp_pca_sig_nogarch_50_50,-0.5108790293728429,0.397,-7.689652412686755,0.8907,Weak model,False,,50,50
rf_75_8_50,0.06521669955047815,0.9112,-23.20774802181216,0.4556,Weak model,True,75,8,50
rf_50_8_10,-0.22919108217099382,0.7048,-24.961497362362163,0.4317,Weak model,True,50,8,10
rf_50_8_20,-0.22008716793690175,0.7173,10.496299724931568,0.7065,Weak model,True,50,8,20
rf_50_8_50,-0.08624104035059732,0.8871,6.334494095282333,0.8169,Weak model,True,50,8,50
mlp_sig_nogarch_3_5,-0.9453802269479334,0.1131,101.40805182196476,0.061,Weak model,False,,3,5
mlp_sig_90_50_50,-0.5777044105199732,0.3467,34.54231496381334,0.4971,Weak model,True,90,50,50
rf_75_3_5,-0.3664370028434005,0.5305,21.949205570885226,0.6423,Weak model,True,75,3,5
mlp_sig_90_50_20,-0.5777044105199732,0.3467,34.54231496381334,0.4971,Weak model,True,90,50,20
mlp_sig_90_50_10,-0.5909201593708657,0.3336,27.001790431423906,0.5956,Weak model,True,90,50,10
mlp_sig_90_50_5,-0.6816464309526313,0.2595,6.517989901069619,0.9014,Weak model,True,90,50,5
mlp_sig_90_8_50,-0.6285621828460062,0.2944,81.1159014147611,0.1218,Weak model,True,90,8,50
rf_75_5_10,-0.11833887836740908,0.8492,-11.458438350272097,0.7782,Weak model,True,75,5,10
rf_75_5_20,-0.05677456280874582,0.9267,15.683403358456477,0.6632,Weak model,True,75,5,20
rf_75_5_50,0.06424528447670996,0.9152,3.3215388634129708,0.9192,Weak model,True,75,5,50
mlp_sig_90_8_20,-0.6285621828460062,0.2944,81.1159014147611,0.1218,Weak model,True,90,8,20
rf_75_8_10,-0.10933127815916244,0.8553,-51.949361245832776,0.1358,Weak model,True,75,8,10
mlp_sig_nogarch_5_5,-0.9849208041814659,0.0987,63.65102438170835,0.2019,Weak model,False,,5,5
rf_50_5_20,-0.20230162558777454,0.737,59.27350966117761,0.0813,Weak model,True,50,5,20
rf_50_5_10,-0.2663495677268324,0.6538,35.873008148922814,0.3471,Weak model,True,50,5,10
mlp_nogarch_8_20,-0.6543642436266967,0.2861,-7.290325734657454,0.8878,Weak model,False,,8,20
mlp_nogarch_5_5,-0.6167024949554455,0.3087,-27.84913734220604,0.6273,Weak model,False,,5,5
mlp_nogarch_5_10,-0.5677967513399071,0.3532,-2.1050612231361256,0.9693,Weak model,False,,5,10
mlp_nogarch_5_20,-0.5634619484489686,0.3558,0.3014191807783284,0.9953,Weak model,False,,5,20
mlp_nogarch_5_50,-0.5634619484489686,0.3558,0.3014191807783284,0.9953,Weak model,False,,5,50
mlp_nogarch_8_5,-0.6890395503381377,0.2559,-40.235570697150415,0.4688,Weak model,False,,8,5
mlp_nogarch_8_10,-0.6587142779005726,0.2831,-9.495590921522403,0.8553,Weak model,False,,8,10
mlp_nogarch_8_50,-0.6543642436266967,0.2861,-7.290325734657454,0.8878,Weak model,False,,8,50
rf_50_5_5,-0.43445310236893075,0.451,-20.352491598648655,0.6125,Weak model,True,50,5,5
mlp_nogarch_50_5,-0.6541350346756738,0.2801,-83.18795674207055,0.1323,Weak model,False,,50,5
mlp_nogarch_50_10,-0.6233915928886464,0.3085,-50.58390374720497,0.3376,Weak model,False,,50,10
mlp_nogarch_50_20,-0.6190832863535163,0.3114,-48.336420776781694,0.3615,Weak model,False,,50,20
mlp_nogarch_50_50,-0.6190832863535163,0.3114,-48.336420776781694,0.3615,Weak model,False,,50,50
rf_50_3_5,-0.45193161782856606,0.4234,16.018138014932756,0.7153,Weak model,True,50,3,5
rf_50_3_10,-0.43207540869001315,0.4555,73.49082081431177,0.0597,Weak model,True,50,3,10
rf_75_8_20,-0.08688773482319068,0.8836,-13.969640856773784,0.6649,Weak model,True,75,8,20
mlp_sig_90_8_10,-0.6428133360182888,0.285,73.3397572243461,0.1641,Weak model,True,90,8,10
mlp_sig_nogarch_8_10,-0.711798509764585,0.2398,52.7490740956727,0.3507,Weak model,False,,8,10
mlp_sig_90_8_5,-0.7337680617980218,0.2195,51.01179120601801,0.3328,Weak model,True,90,8,5
rf_nogarch_8_5,-0.3275820682588988,0.5978,-69.3455345324441,0.1233,Weak model,False,,8,5
rf_nogarch_8_10,-0.29966138590918223,0.6329,-5.321990777838948,0.8956,Weak model,False,,8,10
rf_nogarch_8_20,-0.19228158392507733,0.7626,14.540824926785602,0.6917,Weak model,False,,8,20
