Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
mlp_pca_sig_nogarch_50_50,-0.43449062826819507,0.4009,9.540589435924582,0.8132,Weak model,False,,50,50
mlp_sig_90_50_20,-0.5013160094153254,0.3386,18.989381271092235,0.6145,Weak model,True,90,50,20
rf_75_5_10,-0.04195047726276124,0.9379,-11.287578913492153,0.7085,Weak model,True,75,5,10
rf_75_5_20,0.01961383829590202,0.9713,9.368117508212173,0.7194,Weak model,True,75,5,20
rf_75_5_50,0.1406336855813578,0.7891,1.7746890350961841,0.9451,Weak model,True,75,5,50
mlp_sig_90_50_10,-0.5145317582662179,0.3226,14.804199066659308,0.6929,Weak model,True,90,50,10
rf_75_8_10,-0.0329428770545146,0.9504,-31.50574612312696,0.2247,Weak model,True,75,8,10
rf_75_8_20,-0.010499333718542836,0.985,-0.0028048832478209107,0.9999,Weak model,True,75,8,20
rf_75_8_50,0.141605100655126,0.7882,-12.785868608423739,0.5783,Weak model,True,75,8,50
mlp_sig_90_50_5,-0.6052580298479835,0.2394,-0.3777185627471127,0.9921,Weak model,True,90,50,5
mlp_sig_90_8_50,-0.5521737817413583,0.2852,52.015639135914725,0.1775,Weak model,True,90,8,50
mlp_sig_90_8_20,-0.5521737817413583,0.2852,52.015639135914725,0.1775,Weak model,True,90,8,20
mlp_sig_90_8_10,-0.566424934913641,0.2669,47.67514199195526,0.2176,Weak model,True,90,8,10
rf_90_3_5,-0.3595546717024325,0.4771,41.48574467238076,0.229,Weak model,True,90,3,5
mlp_sig_90_8_5,-0.657379660693374,0.1915,30.999443662288453,0.4203,Weak model,True,90,8,5
rf_90_5_5,-0.2500477496871655,0.6218,-13.684278814942084,0.6773,Weak model,True,90,5,5
rf_90_5_10,-0.17532667376970057,0.7396,10.926054319249287,0.6983,Weak model,True,90,5,10
rf_75_5_5,-0.0819830676971508,0.8708,-63.76216382495079,0.0641,Weak model,True,75,5,5
mlp_sig_90_50_50,-0.5013160094153254,0.3386,18.989381271092235,0.6145,Weak model,True,90,50,50
rf_90_5_50,-0.030486525029149947,0.9578,17.806024072360472,0.4743,Weak model,True,90,5,50
