Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
mlp_pca_sig_nogarch_50_50,-0.6065317562422747,0.1518,3.9624856833829334,0.9144,Weak model,False,,50,50
mlp_sig_75_8_50,-0.7271796958167294,0.0702,21.727870696744187,0.3743,Weak model,True,75,8,50
rf_nogarch_50_5,-0.35809210154152926,0.4261,7.520716076090398,0.8324,Weak model,False,,50,5
rf_nogarch_50_10,-0.3701328758953797,0.4134,39.45837182504036,0.2487,Weak model,False,,50,10
rf_nogarch_50_20,-0.3701328758953797,0.4134,39.45837182504036,0.2487,Weak model,False,,50,20
rf_nogarch_50_50,-0.3701328758953797,0.4134,39.45837182504036,0.2487,Weak model,False,,50,50
mlp_sig_75_50_20,-0.7272948211004738,0.073,11.800503157601355,0.6284,Weak model,True,75,50,20
mlp_sig_75_50_10,-0.7272948211004738,0.073,11.800503157601355,0.6284,Weak model,True,75,50,10
mlp_sig_75_50_5,-0.7318563151485485,0.0709,8.40814230864844,0.7283,Weak model,True,75,50,5
mlp_sig_75_8_20,-0.7271796958167294,0.0702,21.727870696744187,0.3743,Weak model,True,75,8,20
mlp_pca_50_5_20,-0.6239784619156535,0.1275,14.187677191051801,0.5612,Weak model,True,50,5,20
mlp_sig_75_8_10,-0.7271796958167294,0.0702,21.727870696744187,0.3743,Weak model,True,75,8,10
mlp_sig_75_8_5,-0.7317167684056956,0.0685,18.341095917581136,0.4542,Weak model,True,75,8,5
mlp_sig_75_5_50,-0.7365322907184902,0.0586,26.545348788668036,0.2823,Weak model,True,75,5,50
mlp_sig_75_5_20,-0.7365322907184902,0.0586,26.545348788668036,0.2823,Weak model,True,75,5,20
mlp_sig_75_5_10,-0.7365322907184902,0.0586,26.545348788668036,0.2823,Weak model,True,75,5,10
mlp_sig_75_5_5,-0.7409896621622941,0.057,23.19456891921322,0.3476,Weak model,True,75,5,5
mlp_sig_50_50_50,-0.6755987582673038,0.0969,24.052429849687876,0.2862,Weak model,True,50,50,50
rf_nogarch_8_50,-0.3669078562989979,0.4175,49.49019339823957,0.1524,Weak model,False,,8,50
rf_nogarch_8_20,-0.3669078562989979,0.4175,49.49019339823957,0.1524,Weak model,False,,8,20
rf_nogarch_8_10,-0.3669078562989979,0.4175,49.49019339823957,0.1524,Weak model,False,,8,10
rf_nogarch_8_5,-0.35506096133696874,0.4286,17.836459962125648,0.6171,Weak model,False,,8,5
rf_75_50_10,-0.2200322054394892,0.625,12.172379128664303,0.6911,Weak model,True,75,50,10
rf_75_50_20,-0.1918263918445009,0.6713,15.769532477741222,0.6118,Weak model,True,75,50,20
rf_75_50_50,-0.1918263918445009,0.6713,15.769532477741222,0.6118,Weak model,True,75,50,50
rf_90_5_5,-0.36378896515003567,0.4113,37.56045700250573,0.2654,Weak model,True,90,5,5
rf_90_8_5,-0.3806893227524216,0.3945,40.22971007552666,0.2242,Weak model,True,90,8,5
rf_90_50_5,-0.3561563153103493,0.427,8.883870271287073,0.784,Weak model,True,90,50,5
rf_90_50_10,-0.36067842682706386,0.4242,52.15878087823054,0.0995,Weak model,True,90,50,10
rf_90_50_20,-0.36067842682706386,0.4242,52.15878087823054,0.0995,Weak model,True,90,50,20
rf_90_50_50,-0.36067842682706386,0.4242,52.15878087823054,0.0995,Weak model,True,90,50,50
rf_nogarch_3_5,-0.37930635938009805,0.3985,38.05261719735922,0.317,Weak model,False,,3,5
mlp_sig_75_50_50,-0.7272948211004738,0.073,11.800503157601355,0.6284,Weak model,True,75,50,50
rf_nogarch_5_5,-0.3498774259192772,0.4346,22.718788907210847,0.5342,Weak model,False,,5,5
rf_nogarch_5_10,-0.36144397123371586,0.4218,54.156992176224705,0.1246,Weak model,False,,5,10
