Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
mlp_pca_sig_nogarch_50_50,-0.5461956650623281,0.1983,8.120153567229249,0.829,Weak model,False,,50,50
mlp_sig_75_8_10,-0.6668436046367827,0.0966,21.25359094774695,0.3835,Weak model,True,75,8,10
rf_nogarch_50_10,-0.30979678471543304,0.4914,42.173396697736024,0.2193,Weak model,False,,50,10
rf_nogarch_50_20,-0.30979678471543304,0.4914,42.173396697736024,0.2193,Weak model,False,,50,20
rf_nogarch_50_50,-0.30979678471543304,0.4914,42.173396697736024,0.2193,Weak model,False,,50,50
mlp_sig_75_50_10,-0.6669587299205272,0.0997,11.171157916001615,0.6482,Weak model,True,75,50,10
mlp_sig_75_50_5,-0.6715202239686019,0.0967,7.84462197696582,0.747,Weak model,True,75,50,5
mlp_sig_75_8_50,-0.6668436046367827,0.0966,21.25359094774695,0.3835,Weak model,True,75,8,50
mlp_sig_75_8_20,-0.6668436046367827,0.0966,21.25359094774695,0.3835,Weak model,True,75,8,20
mlp_sig_75_8_5,-0.6713806772257489,0.0946,17.934220243528557,0.4639,Weak model,True,75,8,5
rf_nogarch_8_50,-0.30657176511905126,0.4956,52.230955255765124,0.1308,Weak model,False,,8,50
mlp_sig_75_5_50,-0.6761961995385436,0.0831,25.306384050921906,0.3044,Weak model,True,75,5,50
mlp_sig_75_5_20,-0.6761961995385436,0.0831,25.306384050921906,0.3044,Weak model,True,75,5,20
mlp_sig_75_5_10,-0.6761961995385436,0.0831,25.306384050921906,0.3044,Weak model,True,75,5,10
mlp_sig_75_5_5,-0.6806535709823475,0.0806,22.02045757773067,0.3747,Weak model,True,75,5,5
mlp_sig_50_50_50,-0.6152626670873571,0.1319,23.877620294905242,0.2903,Weak model,True,50,50,50
mlp_sig_50_50_20,-0.6152626670873571,0.1319,23.877620294905242,0.2903,Weak model,True,50,50,20
mlp_sig_50_50_10,-0.6152626670873571,0.1319,23.877620294905242,0.2903,Weak model,True,50,50,10
rf_nogarch_50_5,-0.2977560103615826,0.5033,10.487443157461996,0.7695,Weak model,False,,50,5
rf_nogarch_8_20,-0.30657176511905126,0.4956,52.230955255765124,0.1308,Weak model,False,,8,20
rf_75_50_5,-0.2288341941542409,0.6093,-14.144481790240185,0.6385,Weak model,True,75,50,5
rf_90_50_50,-0.3003423356471172,0.5068,54.492651483857784,0.0846,Weak model,True,90,50,50
rf_75_50_20,-0.13149030066455425,0.7687,18.22286673400351,0.5593,Weak model,True,75,50,20
rf_75_50_50,-0.13149030066455425,0.7687,18.22286673400351,0.5593,Weak model,True,75,50,50
rf_90_5_5,-0.303452873970089,0.4973,39.855721512863994,0.2378,Weak model,True,90,5,5
rf_90_8_5,-0.320353231572475,0.4754,43.43579669730917,0.192,Weak model,True,90,8,5
rf_90_50_5,-0.29582022413040265,0.5101,11.810122137522605,0.7172,Weak model,True,90,50,5
rf_90_50_10,-0.3003423356471172,0.5068,54.492651483857784,0.0846,Weak model,True,90,50,10
rf_90_50_20,-0.3003423356471172,0.5068,54.492651483857784,0.0846,Weak model,True,90,50,20
rf_nogarch_3_5,-0.3189702682001514,0.4771,39.28654776389567,0.2997,Weak model,False,,3,5
rf_nogarch_8_10,-0.30657176511905126,0.4956,52.230955255765124,0.1308,Weak model,False,,8,10
mlp_sig_75_50_50,-0.6669587299205272,0.0997,11.171157916001615,0.6482,Weak model,True,75,50,50
mlp_sig_75_50_20,-0.6669587299205272,0.0997,11.171157916001615,0.6482,Weak model,True,75,50,20
rf_nogarch_5_5,-0.2895413347393305,0.5155,25.251725518710835,0.4926,Weak model,False,,5,5
rf_nogarch_5_10,-0.3011078800537692,0.5033,56.45462139108121,0.1085,Weak model,False,,5,10
rf_nogarch_5_20,-0.3011078800537692,0.5033,56.45462139108121,0.1085,Weak model,False,,5,20
rf_nogarch_5_50,-0.3011078800537692,0.5033,56.45462139108121,0.1085,Weak model,False,,5,50
rf_nogarch_8_5,-0.2947248701570221,0.5085,20.8271341079883,0.5655,Weak model,False,,8,5
mlp_sig_50_50_5,-0.6152626670873571,0.1319,23.877620294905242,0.2903,Weak model,True,50,50,5
mlp_sig_50_8_50,-0.7137891411871042,0.0693,32.349779427459374,0.1339,Weak model,True,50,8,50
mlp_sig_50_8_20,-0.7137891411871042,0.0693,32.349779427459374,0.1339,Weak model,True,50,8,20
xgb_nogarch_5_50,-0.7008066336792808,0.1045,47.13019425214938,0.2368,Weak model,False,,5,50
xgb_nogarch_3_5,-0.8181704572124293,0.0545,68.18958886779801,0.0746,Weak model,False,,3,5
xgb_nogarch_3_10,-0.7552455253443683,0.0786,69.14988546624262,0.0766,Weak model,False,,3,10
xgb_nogarch_3_20,-0.7552455253443683,0.0786,69.14988546624262,0.0766,Weak model,False,,3,20
xgb_nogarch_3_50,-0.7552455253443683,0.0786,69.14988546624262,0.0766,Weak model,False,,3,50
xgb_nogarch_5_5,-0.7639371453587133,0.0755,46.82205000502395,0.2346,Weak model,False,,5,5
xgb_nogarch_5_10,-0.7008066336792808,0.1045,47.13019425214938,0.2368,Weak model,False,,5,10
xgb_nogarch_5_20,-0.7008066336792808,0.1045,47.13019425214938,0.2368,Weak model,False,,5,20
xgb_nogarch_8_5,-0.7947083467414521,0.0638,56.92793453761542,0.1379,Weak model,False,,8,5
xgb_75_5_5,-0.6278913352258818,0.1392,56.28737217101426,0.1187,Weak model,True,75,5,5
xgb_nogarch_8_10,-0.7318949146252114,0.0911,57.357119057221205,0.1384,Weak model,False,,8,10
xgb_nogarch_8_20,-0.7318949146252114,0.0911,57.357119057221205,0.1384,Weak model,False,,8,20
xgb_nogarch_8_50,-0.7318949146252114,0.0911,57.357119057221205,0.1384,Weak model,False,,8,50
xgb_nogarch_50_5,-0.7984110831686508,0.0624,48.6391978952345,0.2056,Weak model,False,,50,5
xgb_nogarch_50_10,-0.7352495283414312,0.0893,49.069284622886755,0.2061,Weak model,False,,50,10
xgb_nogarch_50_20,-0.7352495283414312,0.0893,49.069284622886755,0.2061,Weak model,False,,50,20
xgb_nogarch_50_50,-0.7352495283414312,0.0893,49.069284622886755,0.2061,Weak model,False,,50,50
xgb_90_50_50,-0.7076815592855572,0.1012,62.59074152211038,0.0747,Weak model,True,90,50,50
xgb_90_50_20,-0.7076815592855572,0.1012,62.59074152211038,0.0747,Weak model,True,90,50,20
xgb_90_50_10,-0.7076815592855572,0.1012,62.59074152211038,0.0747,Weak model,True,90,50,10
xgb_90_50_5,-0.746971396736729,0.0808,54.938151338221495,0.1189,Weak model,True,90,50,5
xgb_75_5_10,-0.5957502296351435,0.1632,62.04951065436311,0.0852,Weak model,True,75,5,10
xgb_75_5_20,-0.5957502296351435,0.1632,62.04951065436311,0.0852,Weak model,True,75,5,20
xgb_75_5_50,-0.5957502296351435,0.1632,62.04951065436311,0.0852,Weak model,True,75,5,50
xgb_75_8_5,-0.5547320191353101,0.1908,66.78470556199765,0.0523,Weak model,True,75,8,5
mlp_sig_50_8_10,-0.7137891411871042,0.0693,32.349779427459374,0.1339,Weak model,True,50,8,10
mlp_sig_50_8_5,-0.7137891411871042,0.0693,32.349779427459374,0.1339,Weak model,True,50,8,5
xgb_75_50_5,-0.5155103836376947,0.2287,43.47470538806559,0.2188,Weak model,True,75,50,5
xgb_75_50_10,-0.4832908350737708,0.2607,48.725351708094045,0.1694,Weak model,True,75,50,10
xgb_75_50_20,-0.4832908350737708,0.2607,48.725351708094045,0.1694,Weak model,True,75,50,20
xgb_75_50_50,-0.4832908350737708,0.2607,48.725351708094045,0.1694,Weak model,True,75,50,50
xgb_90_5_5,-0.8037397846435507,0.0571,59.18254190136078,0.0951,Weak model,True,90,5,5
xgb_90_5_10,-0.7647802656493208,0.0738,67.03357567102208,0.0583,Weak model,True,90,5,10
xgb_90_5_20,-0.7647802656493208,0.0738,67.03357567102208,0.0583,Weak model,True,90,5,20
