Strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,alpha_annualized_market_benchmark,alpha_annualized_asset_benchmark,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,win_rate,max_win_streak,max_loss_streak,average_gain,average_loss,profit_factor,exposure,trade_count,turnover,VaR_95,CVaR_95,average_holding_days,longest_holding_days,longest_holding_start,longest_holding_end,shortest_holding_days,shortest_holding_start,shortest_holding_end
BB Pure,0.5483455440423581,0.10996525022623538,0.11010821388101118,0.6863089897232287,0.031133940952271066,0.02417220946019194,0.87536649901441,0.6122711489404159,-0.17960220797033966,446,21.875,10,6,0.008446664263293291,-0.007724451402537812,1.2887642951811653,38.92045454545455,34,0.032196969696969696,-0.010557760172196815,-0.01807503679060021,33.529411764705884,78,2024-07-25 00:00:00,2024-10-11 00:00:00,5,2024-10-31 00:00:00,2024-11-05 00:00:00
BB GARCH,0.04431098577026371,0.01040034568660686,0.07039278268441564,-0.26193597587993367,-0.03602422527990701,-0.03879012212540034,0.06742399995092667,0.06347044199864567,-0.16386124563034843,9,5.871212121212121,4,5,0.009758239829409312,-0.008775836644215721,1.0771958524286196,11.363636363636363,14,0.013257575757575758,-0.0018142231905898785,-0.010408435369364973,24.0,43,2021-05-12 00:00:00,2021-06-24 00:00:00,5,2024-10-31 00:00:00,2024-11-05 00:00:00
MACD Pure,0.07052563931823719,0.016395978225163477,0.10550103611465024,-0.11866982157843826,-0.05072704365946612,-0.05616070660477046,0.16567703189908872,0.09153302147490396,-0.17912637385906505,787,27.556818181818183,8,7,0.006481383685703659,-0.006059776243304259,1.0374875115363043,51.79924242424242,93,0.08806818181818182,-0.009894064658415778,-0.01698224968504594,16.02173913043478,53,2022-06-27 00:00:00,2022-08-19 00:00:00,0,2021-08-06 00:00:00,2021-08-06 00:00:00
MACD GARCH,0.14171999948669511,0.03213336098562847,0.08247939346222463,0.03454162702457061,-0.021265924600162633,-0.024623977228907967,0.3480005926591851,0.3636094369623561,-0.08837328660684673,264,16.00378787878788,7,7,0.006873442475114283,-0.005880433608345625,1.128791179758029,30.303030303030305,53,0.050189393939393936,-0.007242793922016083,-0.012920220434568775,16.76923076923077,53,2022-06-27 00:00:00,2022-08-19 00:00:00,0,2021-08-06 00:00:00,2021-08-06 00:00:00
RSI Pure,0.10296613667419408,0.023662711213429777,0.10527689805414786,-0.05122658171060228,-0.04415852710790569,-0.049726106360493905,0.19274090789510653,0.0941615397660497,-0.25129911078579725,656,20.359848484848484,10,6,0.007807200904995676,-0.00802307185728595,1.062005845466555,36.83712121212121,48,0.045454545454545456,-0.010888123855915855,-0.018101957717723063,21.958333333333332,61,2023-11-02 00:00:00,2024-01-02 00:00:00,2,2022-05-04 00:00:00,2022-05-06 00:00:00
RSI GARCH,0.09259678764831492,0.021357859693293735,0.0652108764663786,-0.11727087665336658,-0.0225783980260843,-0.024786787016517042,0.19654757526719477,0.21608325602392145,-0.09884088238160071,248,8.522727272727272,10,3,0.00784739102216414,-0.007019408580888337,1.143364248659639,15.81439393939394,23,0.021780303030303032,-0.0033615692293929716,-0.010460741106164493,21.0,55,2022-12-16 00:00:00,2023-02-09 00:00:00,1,2022-05-26 00:00:00,2022-05-27 00:00:00
RF,0.43495135785522465,0.09000139614102953,0.13528940052127547,0.42429925204752805,-0.009112584439372684,-0.01879892749910872,0.8634398451118007,0.6041451336527409,-0.148973137624844,320,39.48863636363637,10,7,0.007445866152888408,-0.006548437312845818,1.1316173113744916,73.39015151515152,126,0.11931818181818182,-0.013941747466883595,-0.020456223058569947,16.476190476190474,182,2024-01-11 00:00:00,2024-07-11 00:00:00,0,2022-01-11 00:00:00,2022-01-11 00:00:00
RF-FS,0.5362925865386958,0.10789719221935501,0.1337213633261071,0.5509827056456782,0.008613257887442716,-0.0010278405006514113,1.0613410281185136,0.6695768851138946,-0.1611423491732421,407,41.38257575757576,10,7,0.007203051565707375,-0.006411229791511802,1.157952543624869,76.32575757575758,114,0.10795454545454546,-0.013842099661473546,-0.019917002973688064,19.140350877192983,133,2020-11-27 00:00:00,2021-04-09 00:00:00,0,2020-11-13 00:00:00,2020-11-13 00:00:00
XGB,-0.11547677026306236,-0.028857663188890492,0.12210659916152863,-0.4755078774551856,-0.1061355767645481,-0.11325539944814367,-0.2836540731030727,-0.12561685042369175,-0.22972764475113638,33,29.924242424242426,7,7,0.00743149892167889,-0.005968744352293344,0.9503425677393964,59.28030303030303,213,0.20170454545454544,-0.012527875594900102,-0.01970690985181778,7.245283018867925,53,2021-11-12 00:00:00,2022-01-04 00:00:00,0,2021-03-23 00:00:00,2021-03-23 00:00:00
XGB-FS,-0.08495599207275362,-0.020964015374676737,0.12353257908084932,-0.4043560155309419,-0.09968411740939265,-0.10697520456938325,-0.20840263217536698,-0.10650318432389269,-0.19683932933800286,135,33.71212121212121,7,7,0.007122289082864722,-0.005991593680976452,0.9661690703351503,66.00378787878788,199,0.1884469696969697,-0.013948935062956322,-0.01978167661861692,9.02020202020202,48,2021-11-12 00:00:00,2021-12-30 00:00:00,0,2021-03-23 00:00:00,2021-03-23 00:00:00
