Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
xgb_90_3_5,-1.0696705583815187,0.1721,488.0457794293048,0.2086,Weak model,True,90,3,5
mlp_90_3_10,-0.8742146612984698,0.2532,621.378799432267,0.177,Weak model,True,90,3,10
mlp_pca_75_8_50,-0.29787721763102815,0.6864,-667.3900530930422,0.1579,Weak model,True,75,8,50
mlp_pca_75_50_10,-0.2501006325714622,0.7339,-777.1214880865048,0.1075,Weak model,True,75,50,10
mlp_pca_75_50_20,-0.25368903235469387,0.7375,-752.9082876349896,0.1238,Weak model,True,75,50,20
mlp_pca_75_50_50,-0.25368903235469387,0.7375,-752.9082876349896,0.1238,Weak model,True,75,50,50
mlp_pca_90_3_5,-0.7977759684771917,0.2975,182.84842421657115,0.6757,Weak model,True,90,3,5
mlp_pca_90_3_10,-0.6287034621737627,0.4153,509.04096116346705,0.2817,Weak model,True,90,3,10
mlp_pca_90_3_20,-0.6103990790773228,0.4333,587.8021640992757,0.2162,Weak model,True,90,3,20
mlp_pca_90_3_50,-0.6103990790773228,0.4333,587.8021640992757,0.2162,Weak model,True,90,3,50
mlp_pca_90_5_5,-0.639214400919652,0.4107,-408.349222909318,0.3938,Weak model,True,90,5,5
mlp_pca_90_5_10,-0.49372543738941155,0.5247,-4.285341229372804,0.9932,Weak model,True,90,5,10
mlp_pca_90_5_20,-0.47525930990683973,0.5406,74.68635922474242,0.8825,Weak model,True,90,5,20
mlp_pca_90_5_50,-0.47525930990683973,0.5406,74.68635922474242,0.8825,Weak model,True,90,5,50
mlp_pca_90_8_5,-0.6907251702823093,0.3747,-581.6405561666154,0.1985,Weak model,True,90,8,5
mlp_pca_90_8_10,-0.5480804884895475,0.4799,-240.1777669369568,0.623,Weak model,True,90,8,10
mlp_pca_90_8_20,-0.5297843829063638,0.496,-167.0876058338721,0.7352,Weak model,True,90,8,20
mlp_pca_90_8_50,-0.5297843829063638,0.496,-167.0876058338721,0.7352,Weak model,True,90,8,50
mlp_pca_90_50_5,-0.6285794344965349,0.422,-808.6193027114666,0.0905,Weak model,True,90,50,5
mlp_pca_90_50_10,-0.48607141253474284,0.5343,-456.2343616273507,0.3772,Weak model,True,90,50,10
mlp_pca_90_50_20,-0.4677122755135551,0.5478,-386.1945919715875,0.4578,Weak model,True,90,50,20
mlp_pca_75_8_20,-0.29787721763102815,0.6864,-667.3900530930422,0.1579,Weak model,True,75,8,20
