Backtest,Return Diff,Return p-value,Signal Return,Signal p-value,Model Type,GARCH,RP,SL,TP
xgb_90_3_5,-0.6464614682105289,0.4448,185.05328440566427,0.6599,Weak model,True,90,3,5
mlp_pca_nogarch_3_50,-0.0583016386054418,0.9438,413.0805075148263,0.5211,Weak model,False,,3,50
mlp_pca_90_8_20,-0.10657529273537403,0.8938,-54.54122784421725,0.9201,Weak model,True,90,8,20
mlp_pca_90_8_50,-0.10657529273537403,0.8938,-54.54122784421725,0.9201,Weak model,True,90,8,50
mlp_pca_90_50_5,-0.20537034432554513,0.8079,-801.6213004051035,0.1321,Weak model,True,90,50,5
mlp_pca_90_50_10,-0.06286232236375311,0.941,-389.54301806320507,0.4997,Weak model,True,90,50,10
mlp_pca_90_50_20,-0.044503185342565366,0.9582,-244.83753057533974,0.6746,Weak model,True,90,50,20
mlp_pca_90_50_50,-0.044503185342565366,0.9582,-244.83753057533974,0.6746,Weak model,True,90,50,50
mlp_pca_nogarch_3_5,-0.17078832729006332,0.8419,-324.76890012486535,0.5905,Weak model,False,,3,5
mlp_pca_nogarch_3_10,-0.07961998985186514,0.9232,312.6342720981962,0.6197,Weak model,False,,3,10
mlp_pca_nogarch_3_20,-0.0583016386054418,0.9438,413.0805075148263,0.5211,Weak model,False,,3,20
mlp_pca_nogarch_5_5,0.04590164202925895,0.9567,-1085.0717665394202,0.1032,Weak model,False,,5,5
mlp_pca_90_8_5,-0.26751608011131955,0.7508,-588.9907656082091,0.242,Weak model,True,90,8,5
mlp_pca_nogarch_5_10,0.14025270511685506,0.8666,-377.7657372390403,0.5954,Weak model,False,,5,10
mlp_pca_nogarch_5_20,0.161583459397997,0.8488,-278.36712006035947,0.7026,Weak model,False,,5,20
mlp_pca_nogarch_5_50,0.161583459397997,0.8488,-278.36712006035947,0.7026,Weak model,False,,5,50
mlp_pca_nogarch_8_5,0.024903577928755305,0.9785,-1152.830255597968,0.078,Weak model,False,,8,5
mlp_pca_nogarch_8_10,0.11592626616213608,0.8913,-487.77559510220146,0.4926,Weak model,False,,8,10
mlp_pca_nogarch_8_20,0.13723702210904598,0.8704,-390.4549071302116,0.5889,Weak model,False,,8,20
mlp_pca_nogarch_8_50,0.13723702210904598,0.8704,-390.4549071302116,0.5889,Weak model,False,,8,50
mlp_pca_nogarch_50_5,0.015225834655360315,0.9841,-1260.5361281905962,0.0523,Weak model,False,,50,5
mlp_pca_nogarch_50_10,0.10622200782574232,0.8992,-607.2177932874773,0.3836,Weak model,False,,50,10
mlp_pca_90_8_10,-0.12487139831855776,0.879,-196.68238079861908,0.7179,Weak model,True,90,8,10
mlp_pca_90_5_50,-0.05205021973585,0.9461,240.49198166363357,0.6721,Weak model,True,90,5,50
xgb_sig_75_3_50,0.28063297863373304,0.7464,741.5847645319767,0.1768,Weak model,True,75,3,50
mlp_pca_75_8_50,0.1253318725399616,0.8797,-509.84396257439045,0.3371,Weak model,True,75,8,50
mlp_pca_75_3_20,-0.025544419113726624,0.9766,328.1627056316788,0.5185,Weak model,True,75,3,20
mlp_pca_75_3_50,-0.025544419113726624,0.9766,328.1627056316788,0.5185,Weak model,True,75,3,50
mlp_pca_75_5_5,-0.13684671912703794,0.8699,-487.9727457466406,0.332,Weak model,True,75,5,5
mlp_pca_75_5_10,0.14292136141496703,0.8559,-254.64130093306176,0.6383,Weak model,True,75,5,10
mlp_pca_75_5_20,0.13918325167567192,0.8671,-158.33141378166098,0.7784,Weak model,True,75,5,20
mlp_pca_75_5_50,0.13918325167567192,0.8671,-158.33141378166098,0.7784,Weak model,True,75,5,50
mlp_pca_75_8_5,-0.11137511131440037,0.8935,-821.5695800738881,0.0894,Weak model,True,75,8,5
mlp_pca_75_8_10,0.1290876450442201,0.8705,-594.5396751299571,0.2547,Weak model,True,75,8,10
mlp_pca_75_8_20,0.1253318725399616,0.8797,-509.84396257439045,0.3371,Weak model,True,75,8,20
mlp_pca_75_50_5,-0.06723213361429137,0.9367,-887.5433864254813,0.0763,Weak model,True,75,50,5
mlp_pca_90_5_20,-0.05205021973585,0.9461,240.49198166363357,0.6721,Weak model,True,90,5,20
mlp_pca_75_50_10,0.17310845759952753,0.8273,-655.0624920072557,0.224,Weak model,True,75,50,10
