Strategy,total_return,annualized_return,annualized_volatility,sharpe_ratio,alpha_annualized_market_benchmark,alpha_annualized_asset_benchmark,sortino_ratio,calmar_ratio,max_drawdown,max_drawdown_duration,win_rate,max_win_streak,max_loss_streak,average_gain,average_loss,profit_factor,exposure,trade_count,turnover,VaR_95,CVaR_95,average_holding_days,longest_holding_days,longest_holding_start,longest_holding_end,shortest_holding_days,shortest_holding_start,shortest_holding_end
BB Pure,-0.35911550625701916,-0.11220946597757986,0.22871016185658036,-0.6611367193790719,-0.14557326020748218,-0.18963838538553734,-0.447286434974467,-0.2678487844695789,-0.41892841216281174,1,21.125265392781316,8,7,0.01653067479703609,-0.016975046908535917,0.8808662991504959,43.09978768577495,29,0.03078556263269639,-0.02714735656191452,-0.040114570783692904,40.785714285714285,98,2022-12-08 00:00:00,2023-03-16 00:00:00,1,2021-11-29 00:00:00,2021-11-30 00:00:00
BB GARCH,-0.39550606778358466,-0.12598504354849993,0.18786891431633274,-0.8880791629939957,-0.15712182196614444,-0.1868409056494168,-0.4700939471870396,-0.27877565388256764,-0.4519226904999756,1,14.118895966029724,8,7,0.01544799646401056,-0.017401001199871008,0.8032157773563611,28.662420382165603,23,0.024416135881104035,-0.02036371114179278,-0.035861926054447456,34.27272727272727,98,2022-12-08 00:00:00,2023-03-16 00:00:00,8,2022-06-23 00:00:00,2022-07-01 00:00:00
MACD Pure,-0.2549981879275135,-0.07572746124348761,0.22452085396319346,-0.4962844273876388,-0.11053438153445094,-0.15415536703118438,-0.330901871949213,-0.13083849723346455,-0.578785776699664,62,28.237791932059448,11,6,0.01347362150096097,-0.013663203203362983,0.9236237935579846,54.03397027600849,85,0.09023354564755838,-0.025152421246254032,-0.03801854122249348,15.86046511627907,54,2021-08-25 00:00:00,2021-10-18 00:00:00,0,2021-05-17 00:00:00,2021-05-17 00:00:00
MACD GARCH,-0.22148421121055673,-0.06478318938049532,0.19130202269599156,-0.5182438364849078,-0.09819043901966662,-0.1305577887637026,-0.23974396799522874,-0.1554287500733456,-0.4168031290859937,173,16.24203821656051,11,6,0.014075815112582655,-0.015119281252195856,0.8958529213270908,30.46709129511677,52,0.055201698513800426,-0.019324687108517813,-0.03461686593177792,14.884615384615385,51,2022-03-01 00:00:00,2022-04-21 00:00:00,0,2021-05-17 00:00:00,2021-05-17 00:00:00
RSI Pure,-0.2606327282533265,-0.07760270367299893,0.2002413018500911,-0.5640423346922998,-0.11096247441079932,-0.1455950934083564,-0.33143498041119746,-0.2269183077241357,-0.34198520362376594,167,19.851380042462846,7,7,0.014640695806389782,-0.014073012094965883,0.900663393653857,39.91507430997877,57,0.06050955414012739,-0.021086531440266124,-0.035418143746136985,18.321428571428573,56,2021-12-08 00:00:00,2022-02-02 00:00:00,0,2022-07-11 00:00:00,2022-07-11 00:00:00
RSI GARCH,-0.5418280028237918,-0.18844167446978743,0.15556530847142208,-1.5488118523240353,-0.21643301594296993,-0.23515824552695086,-0.7128977165298247,-0.33119898634096007,-0.5689681497871253,1,9.235668789808917,6,7,0.013972902706850653,-0.015594946571681971,0.6089926159675355,20.8067940552017,39,0.041401273885350316,-0.015032962623444748,-0.031678620676471834,13.947368421052632,35,2023-08-25 00:00:00,2023-09-29 00:00:00,3,2023-04-28 00:00:00,2023-05-01 00:00:00
RF,0.3939346860601036,0.0929169099340652,0.26283260636499534,0.2155514388676484,0.04994689505089056,-0.02063755739052342,0.3998380844742562,0.19203272284890424,-0.4838597742905222,50,35.138004246284495,11,7,0.015410557057558819,-0.015790609034525574,1.0696470747158204,64.54352441613588,56,0.059447983014861996,-0.029961295049788346,-0.04233313187687457,30.178571428571427,129,2021-05-25 00:00:00,2021-10-01 00:00:00,0,2022-04-06 00:00:00,2022-04-06 00:00:00
RF-FS,0.3939346860601036,0.0929169099340652,0.26283260636499534,0.2155514388676484,0.04994689505089056,-0.02063755739052342,0.3998380844742562,0.19203272284890424,-0.4838597742905222,50,35.138004246284495,11,7,0.015410557057558819,-0.015790609034525574,1.0696470747158204,64.54352441613588,56,0.059447983014861996,-0.029961295049788346,-0.04233313187687457,30.178571428571427,129,2021-05-25 00:00:00,2021-10-01 00:00:00,0,2022-04-06 00:00:00,2022-04-06 00:00:00
XGB,0.09830644422340451,0.025402078015787533,0.2614610819668424,-0.02711904605524101,-0.01476814676409055,-0.08017797803452598,0.10699524658552743,0.052968052364574664,-0.47957357089415253,45,34.50106157112526,7,8,0.014983849754751513,-0.014214231467400286,1.0196335333139122,64.3312101910828,113,0.11995753715498939,-0.029355101663085977,-0.04235486407067762,14.178571428571429,102,2023-12-11 00:00:00,2024-03-22 00:00:00,0,2022-04-22 00:00:00,2022-04-22 00:00:00
XGB-FS,0.17099726644599733,0.043133252592012505,0.25951771100704746,0.03871958139566629,0.002362983267884422,-0.06329700070655964,0.18362436001458285,0.08686475301562267,-0.496556440841488,42,35.24416135881104,10,9,0.014696626637339111,-0.014051858015950828,1.033433925957285,65.07430997876857,114,0.12101910828025478,-0.029361583055070837,-0.04174263639806677,14.070175438596491,84,2021-05-19 00:00:00,2021-08-11 00:00:00,0,2021-11-04 00:00:00,2021-11-04 00:00:00
MLP + PCA,0.2729241982987971,0.06668539538393103,0.20037839680153904,0.16156031482172487,0.02825389407319001,-0.012655881211495523,0.30142727678881226,0.25049175625337405,-0.2662179242197429,584,21.019108280254777,6,5,0.015455834655262094,-0.011321038111081365,1.0856055472539963,38.747346072186836,170,0.18046709129511676,-0.02069161940874174,-0.03296301900181521,5.047058823529412,36,2021-09-02 00:00:00,2021-10-08 00:00:00,0,2021-05-27 00:00:00,2021-05-27 00:00:00
RF with signal,0.3939346860601036,0.0929169099340652,0.26283260636499534,0.2155514388676484,0.04994689505089056,-0.02063755739052342,0.3998380844742562,0.19203272284890424,-0.4838597742905222,50,35.138004246284495,11,7,0.015410557057558819,-0.015790609034525574,1.0696470747158204,64.54352441613588,56,0.059447983014861996,-0.029961295049788346,-0.04233313187687457,30.178571428571427,129,2021-05-25 00:00:00,2021-10-01 00:00:00,0,2022-04-06 00:00:00,2022-04-06 00:00:00
XGB with signal,0.23853733157135015,0.05889930702282409,0.252808914250637,0.09906913759291665,0.017887219238463592,-0.045540683946209026,0.2627070144448433,0.14093392562755055,-0.4179214249553985,32,34.288747346072185,8,7,0.014899309428003011,-0.014149371794410033,1.0465214700086227,63.37579617834395,105,0.11146496815286625,-0.028379186736079788,-0.040088598862880735,15.153846153846153,100,2023-12-06 00:00:00,2024-03-15 00:00:00,0,2021-11-04 00:00:00,2021-11-04 00:00:00
MLP + PCA with signal,-0.14791668677871717,-0.04191763983993746,0.21001497777214226,-0.35699782002695746,-0.07694369889397024,-0.11693313017836271,-0.19059375529766354,-0.08116667198095731,-0.5164390607239859,122,22.823779193205944,6,6,0.01450194344328943,-0.012007285024797603,0.9511679323346751,42.675159235668794,176,0.18683651804670912,-0.023802613867319546,-0.03645039225399283,5.238636363636363,44,2021-09-21 00:00:00,2021-11-04 00:00:00,0,2021-05-20 00:00:00,2021-05-20 00:00:00
RF with signal and fs,0.3939346860601036,0.0929169099340652,0.26283260636499534,0.2155514388676484,0.04994689505089056,-0.02063755739052342,0.3998380844742562,0.19203272284890424,-0.4838597742905222,50,35.138004246284495,11,7,0.015410557057558819,-0.015790609034525574,1.0696470747158204,64.54352441613588,56,0.059447983014861996,-0.029961295049788346,-0.04233313187687457,30.178571428571427,129,2021-05-25 00:00:00,2021-10-01 00:00:00,0,2022-04-06 00:00:00,2022-04-06 00:00:00
XGB with signal and fs,0.17099726644599733,0.043133252592012505,0.25951771100704746,0.03871958139566629,0.002362983267884422,-0.06329700070655964,0.18362436001458285,0.08686475301562267,-0.496556440841488,42,35.24416135881104,10,9,0.014696626637339111,-0.014051858015950828,1.033433925957285,65.07430997876857,114,0.12101910828025478,-0.029361583055070837,-0.04174263639806677,14.070175438596491,84,2021-05-19 00:00:00,2021-08-11 00:00:00,0,2021-11-04 00:00:00,2021-11-04 00:00:00
MLP,-0.14176150080322403,-0.040071069382738744,0.2020821440169919,-0.36136911044078657,-0.07492777346432422,-0.11208733321407427,-0.1804011736904851,-0.07313783487265084,-0.5478842715608323,122,18.577494692144374,6,5,0.015932521074592306,-0.012053542766732876,0.9480211160267003,35.881104033970274,166,0.1762208067940552,-0.02173017334553425,-0.036227899835638004,4.457831325301205,33,2023-06-16 00:00:00,2023-07-19 00:00:00,0,2021-05-24 00:00:00,2021-05-24 00:00:00
MLP with signal,-0.30145950363075524,-0.09151289177026356,0.25672215068330884,-0.4990453875776881,-0.12686196296475338,-0.182866108562022,-0.34211493260019504,-0.16217652926937998,-0.5642795056876446,145,24.309978768577494,7,7,0.01687203829056439,-0.014460475665459455,0.9150347854758245,46.92144373673036,163,0.173036093418259,-0.027158751688430773,-0.044930579561669313,6.407407407407407,37,2022-03-01 00:00:00,2022-04-07 00:00:00,0,2022-01-21 00:00:00,2022-01-21 00:00:00
